,0
20090626,0
20090627,1
20090628,1
20090629,0
20090630,0
20090701,0
20090702,0
20090703,0
20090704,1
20090705,1
20090706,0
20090707,0
20090708,0
20090709,0
20090710,0
20090711,1
20090712,1
20090713,0
20090714,0
20090715,0
20090716,0
20090717,0
20090718,1
20090719,1
20090720,0
20090721,0
20090722,0
20090723,0
20090724,0
20090725,1
20090726,1
20090727,0
20090728,0
20090729,0
20090730,0
20090731,0
20090801,1
20090802,1
20090803,0
20090804,0
20090805,0
20090806,0
20090807,0
20090808,1
20090809,1
20090810,0
20090811,0
20090812,0
20090813,0
20090814,0
20090815,1
20090816,1
20090817,0
20090818,0
20090819,0
20090820,0
20090821,0
20090822,1
20090823,1
20090824,0
20090825,0
20090826,0
20090827,0
20090828,0
20090829,1
20090830,1
20090831,0
20090901,0
20090902,0
20090903,0
20090904,0
20090905,1
20090906,1
20090907,0
20090908,0
20090909,0
20090910,0
20090911,0
20090912,1
20090913,1
20090914,0
20090915,0
20090916,0
20090917,0
20090918,0
20090919,1
20090920,1
20090921,0
20090922,0
20090923,0
20090924,0
20090925,0
20090926,1
20090927,0
20090928,0
20090929,0
20090930,0
20091001,2
20091002,2
20091003,2
20091004,1
20091005,1
20091006,1
20091007,1
20091008,1
20091009,0
20091010,0
20091011,1
20091012,0
20091013,0
20091014,0
20091015,0
20091016,0
20091017,1
20091018,1
20091019,0
20091020,0
20091021,0
20091022,0
20091023,0
20091024,1
20091025,1
20091026,0
20091027,0
20091028,0
20091029,0
20091030,0
20091031,1
20091101,1
20091102,0
20091103,0
20091104,0
20091105,0
20091106,0
20091107,1
20091108,1
20091109,0
20091110,0
20091111,0
20091112,0
20091113,0
20091114,1
20091115,1
20091116,0
20091117,0
20091118,0
20091119,0
20091120,0
20091121,1
20091122,1
20091123,0
20091124,0
20091125,0
20091126,0
20091127,0
20091128,1
20091129,1
20091130,0
20091201,0
20091202,0
20091203,0
20091204,0
20091205,1
20091206,1
20091207,0
20091208,0
20091209,0
20091210,0
20091211,0
20091212,1
20091213,1
20091214,0
20091215,0
20091216,0
20091217,0
20091218,0
20091219,1
20091220,1
20091221,0
20091222,0
20091223,0
20091224,0
20091225,0
20091226,1
20091227,1
20091228,0
20091229,0
20091230,0
20091231,0
20100101,2
20100102,1
20100103,1
20100104,0
20100105,0
20100106,0
20100107,0
20100108,0
20100109,1
20100110,1
20100111,0
20100112,0
20100113,0
20100114,0
20100115,0
20100116,1
20100117,1
20100118,0
20100119,0
20100120,0
20100121,0
20100122,0
20100123,1
20100124,1
20100125,0
20100126,0
20100127,0
20100128,0
20100129,0
20100130,1
20100131,1
20100201,0
20100202,0
20100203,0
20100204,0
20100205,0
20100206,1
20100207,1
20100208,0
20100209,0
20100210,0
20100211,0
20100212,0
20100213,2
20100214,2
20100215,2
20100216,1
20100217,1
20100218,1
20100219,1
20100220,0
20100221,0
20100222,0
20100223,0
20100224,0
20100225,0
20100226,0
20100227,1
20100228,1
20100301,0
20100302,0
20100303,0
20100304,0
20100305,0
20100306,1
20100307,1
20100308,0
20100309,0
20100310,0
20100311,0
20100312,0
20100313,1
20100314,1
20100315,0
20100316,0
20100317,0
20100318,0
20100319,0
20100320,1
20100321,1
20100322,0
20100323,0
20100324,0
20100325,0
20100326,0
20100327,1
20100328,1
20100329,0
20100330,0
20100331,0
20100401,0
20100402,0
20100403,1
20100404,1
20100405,2
20100406,0
20100407,0
20100408,0
20100409,0
20100410,1
20100411,1
20100412,0
20100413,0
20100414,0
20100415,0
20100416,0
20100417,1
20100418,1
20100419,0
20100420,0
20100421,0
20100422,0
20100423,0
20100424,1
20100425,1
20100426,0
20100427,0
20100428,0
20100429,0
20100430,0
20100501,2
20100502,1
20100503,1
20100504,0
20100505,0
20100506,0
20100507,0
20100508,1
20100509,1
20100510,0
20100511,0
20100512,0
20100513,0
20100514,0
20100515,1
20100516,1
20100517,0
20100518,0
20100519,0
20100520,0
20100521,0
20100522,1
20100523,1
20100524,0
20100525,0
20100526,0
20100527,0
20100528,0
20100529,1
20100530,1
20100531,0
20100601,0
20100602,0
20100603,0
20100604,0
20100605,1
20100606,1
20100607,0
20100608,0
20100609,0
20100610,0
20100611,0
20100612,0
20100613,0
20100614,1
20100615,1
20100616,2
20100617,0
20100618,0
20100619,1
20100620,1
20100621,0
20100622,0
20100623,0
20100624,0
20100625,0
20100626,1
20100627,1
20100628,0
20100629,0
20100630,0
20100701,0
20100702,0
20100703,1
20100704,1
20100705,0
20100706,0
20100707,0
20100708,0
20100709,0
20100710,1
20100711,1
20100712,0
20100713,0
20100714,0
20100715,0
20100716,0
20100717,1
20100718,1
20100719,0
20100720,0
20100721,0
20100722,0
20100723,0
20100724,1
20100725,1
20100726,0
20100727,0
20100728,0
20100729,0
20100730,0
20100731,1
20100801,1
20100802,0
20100803,0
20100804,0
20100805,0
20100806,0
20100807,1
20100808,1
20100809,0
20100810,0
20100811,0
20100812,0
20100813,0
20100814,1
20100815,1
20100816,0
20100817,0
20100818,0
20100819,0
20100820,0
20100821,1
20100822,1
20100823,0
20100824,0
20100825,0
20100826,0
20100827,0
20100828,1
20100829,1
20100830,0
20100831,0
20100901,0
20100902,0
20100903,0
20100904,1
20100905,1
20100906,0
20100907,0
20100908,0
20100909,0
20100910,0
20100911,1
20100912,1
20100913,0
20100914,0
20100915,0
20100916,0
20100917,0
20100918,1
20100919,0
20100920,0
20100921,0
20100922,2
20100923,1
20100924,1
20100925,0
20100926,0
20100927,0
20100928,0
20100929,0
20100930,0
20101001,2
20101002,2
20101003,2
20101004,1
20101005,1
20101006,1
20101007,1
20101008,0
20101009,0
20101010,1
20101011,0
20101012,0
20101013,0
20101014,0
20101015,0
20101016,1
20101017,1
20101018,0
20101019,0
20101020,0
20101021,0
20101022,0
20101023,1
20101024,1
20101025,0
20101026,0
20101027,0
20101028,0
20101029,0
20101030,1
20101031,1
20101101,0
20101102,0
20101103,0
20101104,0
20101105,0
20101106,1
20101107,1
20101108,0
20101109,0
20101110,0
20101111,0
20101112,0
20101113,1
20101114,1
20101115,0
20101116,0
20101117,0
20101118,0
20101119,0
20101120,1
20101121,1
20101122,0
20101123,0
20101124,0
20101125,0
20101126,0
20101127,1
20101128,1
20101129,0
20101130,0
20101201,0
20101202,0
20101203,0
20101204,1
20101205,1
20101206,0
20101207,0
20101208,0
20101209,0
20101210,0
20101211,1
20101212,1
20101213,0
20101214,0
20101215,0
20101216,0
20101217,0
20101218,1
20101219,1
20101220,0
20101221,0
20101222,0
20101223,0
20101224,0
20101225,1
20101226,1
20101227,0
20101228,0
20101229,0
20101230,0
20101231,0
20110101,2
20110102,1
20110103,1
20110104,0
20110105,0
20110106,0
20110107,0
20110108,1
20110109,1
20110110,0
20110111,0
20110112,0
20110113,0
20110114,0
20110115,1
20110116,1
20110117,0
20110118,0
20110119,0
20110120,0
20110121,0
20110122,1
20110123,1
20110124,0
20110125,0
20110126,0
20110127,0
20110128,0
20110129,1
20110130,0
20110131,0
20110201,0
20110202,2
20110203,2
20110204,2
20110205,1
20110206,1
20110207,1
20110208,1
20110209,0
20110210,0
20110211,0
20110212,0
20110213,1
20110214,0
20110215,0
20110216,0
20110217,0
20110218,0
20110219,1
20110220,1
20110221,0
20110222,0
20110223,0
20110224,0
20110225,0
20110226,1
20110227,1
20110228,0
20110301,0
20110302,0
20110303,0
20110304,0
20110305,1
20110306,1
20110307,0
20110308,0
20110309,0
20110310,0
20110311,0
20110312,1
20110313,1
20110314,0
20110315,0
20110316,0
20110317,0
20110318,0
20110319,1
20110320,1
20110321,0
20110322,0
20110323,0
20110324,0
20110325,0
20110326,1
20110327,1
20110328,0
20110329,0
20110330,0
20110331,0
20110401,0
20110402,0
20110403,1
20110404,1
20110405,2
20110406,0
20110407,0
20110408,0
20110409,1
20110410,1
20110411,0
20110412,0
20110413,0
20110414,0
20110415,0
20110416,1
20110417,1
20110418,0
20110419,0
20110420,0
20110421,0
20110422,0
20110423,1
20110424,1
20110425,0
20110426,0
20110427,0
20110428,0
20110429,0
20110430,1
20110501,2
20110502,1
20110503,0
20110504,0
20110505,0
20110506,0
20110507,1
20110508,1
20110509,0
20110510,0
20110511,0
20110512,0
20110513,0
20110514,1
20110515,1
20110516,0
20110517,0
20110518,0
20110519,0
20110520,0
20110521,1
20110522,1
20110523,0
20110524,0
20110525,0
20110526,0
20110527,0
20110528,1
20110529,1
20110530,0
20110531,0
20110601,0
20110602,0
20110603,0
20110604,1
20110605,1
20110606,2
20110607,0
20110608,0
20110609,0
20110610,0
20110611,1
20110612,1
20110613,0
20110614,0
20110615,0
20110616,0
20110617,0
20110618,1
20110619,1
20110620,0
20110621,0
20110622,0
20110623,0
20110624,0
20110625,1
20110626,1
20110627,0
20110628,0
20110629,0
20110630,0
20110701,0
20110702,1
20110703,1
20110704,0
20110705,0
20110706,0
20110707,0
20110708,0
20110709,1
20110710,1
20110711,0
20110712,0
20110713,0
20110714,0
20110715,0
20110716,1
20110717,1
20110718,0
20110719,0
20110720,0
20110721,0
20110722,0
20110723,1
20110724,1
20110725,0
20110726,0
20110727,0
20110728,0
20110729,0
20110730,1
20110731,1
20110801,0
20110802,0
20110803,0
20110804,0
20110805,0
20110806,1
20110807,1
20110808,0
20110809,0
20110810,0
20110811,0
20110812,0
20110813,1
20110814,1
20110815,0
20110816,0
20110817,0
20110818,0
20110819,0
20110820,1
20110821,1
20110822,0
20110823,0
20110824,0
20110825,0
20110826,0
20110827,1
20110828,1
20110829,0
20110830,0
20110831,0
20110901,0
20110902,0
20110903,1
20110904,1
20110905,0
20110906,0
20110907,0
20110908,0
20110909,0
20110910,1
20110911,1
20110912,2
20110913,0
20110914,0
20110915,0
20110916,0
20110917,1
20110918,1
20110919,0
20110920,0
20110921,0
20110922,0
20110923,0
20110924,1
20110925,1
20110926,0
20110927,0
20110928,0
20110929,0
20110930,0
20111001,2
20111002,2
20111003,2
20111004,1
20111005,1
20111006,1
20111007,1
20111008,0
20111009,0
20111010,0
20111011,0
20111012,0
20111013,0
20111014,0
20111015,1
20111016,1
20111017,0
20111018,0
20111019,0
20111020,0
20111021,0
20111022,1
20111023,1
20111024,0
20111025,0
20111026,0
20111027,0
20111028,0
20111029,1
20111030,1
20111031,0
20111101,0
20111102,0
20111103,0
20111104,0
20111105,1
20111106,1
20111107,0
20111108,0
20111109,0
20111110,0
20111111,0
20111112,1
20111113,1
20111114,0
20111115,0
20111116,0
20111117,0
20111118,0
20111119,1
20111120,1
20111121,0
20111122,0
20111123,0
20111124,0
20111125,0
20111126,1
20111127,1
20111128,0
20111129,0
20111130,0
20111201,0
20111202,0
20111203,1
20111204,1
20111205,0
20111206,0
20111207,0
20111208,0
20111209,0
20111210,1
20111211,1
20111212,0
20111213,0
20111214,0
20111215,0
20111216,0
20111217,1
20111218,1
20111219,0
20111220,0
20111221,0
20111222,0
20111223,0
20111224,1
20111225,1
20111226,0
20111227,0
20111228,0
20111229,0
20111230,0
20111231,0
20120101,2
20120102,1
20120103,1
20120104,0
20120105,0
20120106,0
20120107,1
20120108,1
20120109,0
20120110,0
20120111,0
20120112,0
20120113,0
20120114,1
20120115,1
20120116,0
20120117,0
20120118,0
20120119,0
20120120,0
20120121,0
20120122,2
20120123,2
20120124,2
20120125,1
20120126,1
20120127,1
20120128,1
20120129,0
20120130,0
20120131,0
20120201,0
20120202,0
20120203,0
20120204,1
20120205,1
20120206,0
20120207,0
20120208,0
20120209,0
20120210,0
20120211,1
20120212,1
20120213,0
20120214,0
20120215,0
20120216,0
20120217,0
20120218,1
20120219,1
20120220,0
20120221,0
20120222,0
20120223,0
20120224,0
20120225,1
20120226,1
20120227,0
20120228,0
20120229,0
20120301,0
20120302,0
20120303,1
20120304,1
20120305,0
20120306,0
20120307,0
20120308,0
20120309,0
20120310,1
20120311,1
20120312,0
20120313,0
20120314,0
20120315,0
20120316,0
20120317,1
20120318,1
20120319,0
20120320,0
20120321,0
20120322,0
20120323,0
20120324,1
20120325,1
20120326,0
20120327,0
20120328,0
20120329,0
20120330,0
20120331,0
20120401,0
20120402,1
20120403,1
20120404,2
20120405,0
20120406,0
20120407,1
20120408,1
20120409,0
20120410,0
20120411,0
20120412,0
20120413,0
20120414,1
20120415,1
20120416,0
20120417,0
20120418,0
20120419,0
20120420,0
20120421,1
20120422,1
20120423,0
20120424,0
20120425,0
20120426,0
20120427,0
20120428,0
20120429,1
20120430,1
20120501,2
20120502,0
20120503,0
20120504,0
20120505,1
20120506,1
20120507,0
20120508,0
20120509,0
20120510,0
20120511,0
20120512,1
20120513,1
20120514,0
20120515,0
20120516,0
20120517,0
20120518,0
20120519,1
20120520,1
20120521,0
20120522,0
20120523,0
20120524,0
20120525,0
20120526,1
20120527,1
20120528,0
20120529,0
20120530,0
20120531,0
20120601,0
20120602,1
20120603,1
20120604,0
20120605,0
20120606,0
20120607,0
20120608,0
20120609,1
20120610,1
20120611,0
20120612,0
20120613,0
20120614,0
20120615,0
20120616,1
20120617,1
20120618,0
20120619,0
20120620,0
20120621,0
20120622,1
20120623,2
20120624,1
20120625,0
20120626,0
20120627,0
20120628,0
20120629,0
20120630,1
20120701,1
20120702,0
20120703,0
20120704,0
20120705,0
20120706,0
20120707,1
20120708,1
20120709,0
20120710,0
20120711,0
20120712,0
20120713,0
20120714,1
20120715,1
20120716,0
20120717,0
20120718,0
20120719,0
20120720,0
20120721,1
20120722,1
20120723,0
20120724,0
20120725,0
20120726,0
20120727,0
20120728,1
20120729,1
20120730,0
20120731,0
20120801,0
20120802,0
20120803,0
20120804,1
20120805,1
20120806,0
20120807,0
20120808,0
20120809,0
20120810,0
20120811,1
20120812,1
20120813,0
20120814,0
20120815,0
20120816,0
20120817,0
20120818,1
20120819,1
20120820,0
20120821,0
20120822,0
20120823,0
20120824,0
20120825,1
20120826,1
20120827,0
20120828,0
20120829,0
20120830,0
20120831,0
20120901,1
20120902,1
20120903,0
20120904,0
20120905,0
20120906,0
20120907,0
20120908,1
20120909,1
20120910,0
20120911,0
20120912,0
20120913,0
20120914,0
20120915,1
20120916,1
20120917,0
20120918,0
20120919,0
20120920,0
20120921,0
20120922,1
20120923,1
20120924,0
20120925,0
20120926,0
20120927,0
20120928,0
20120929,0
20120930,2
20121001,2
20121002,2
20121003,2
20121004,1
20121005,1
20121006,1
20121007,1
20121008,0
20121009,0
20121010,0
20121011,0
20121012,0
20121013,1
20121014,1
20121015,0
20121016,0
20121017,0
20121018,0
20121019,0
20121020,1
20121021,1
20121022,0
20121023,0
20121024,0
20121025,0
20121026,0
20121027,1
20121028,1
20121029,0
20121030,0
20121031,0
20121101,0
20121102,0
20121103,1
20121104,1
20121105,0
20121106,0
20121107,0
20121108,0
20121109,0
20121110,1
20121111,1
20121112,0
20121113,0
20121114,0
20121115,0
20121116,0
20121117,1
20121118,1
20121119,0
20121120,0
20121121,0
20121122,0
20121123,0
20121124,1
20121125,1
20121126,0
20121127,0
20121128,0
20121129,0
20121130,0
20121201,1
20121202,1
20121203,0
20121204,0
20121205,0
20121206,0
20121207,0
20121208,1
20121209,1
20121210,0
20121211,0
20121212,0
20121213,0
20121214,0
20121215,1
20121216,1
20121217,0
20121218,0
20121219,0
20121220,0
20121221,0
20121222,1
20121223,1
20121224,0
20121225,0
20121226,0
20121227,0
20121228,0
20121229,1
20121230,1
20121231,0
20130101,2
20130102,1
20130103,1
20130104,0
20130105,0
20130106,0
20130107,0
20130108,0
20130109,0
20130110,0
20130111,0
20130112,1
20130113,1
20130114,0
20130115,0
20130116,0
20130117,0
20130118,0
20130119,1
20130120,1
20130121,0
20130122,0
20130123,0
20130124,0
20130125,0
20130126,1
20130127,1
20130128,0
20130129,0
20130130,0
20130131,0
20130201,0
20130202,1
20130203,1
20130204,0
20130205,0
20130206,0
20130207,0
20130208,0
20130209,2
20130210,2
20130211,2
20130212,1
20130213,1
20130214,1
20130215,1
20130216,0
20130217,0
20130218,0
20130219,0
20130220,0
20130221,0
20130222,0
20130223,1
20130224,1
20130225,0
20130226,0
20130227,0
20130228,0
20130301,0
20130302,1
20130303,1
20130304,0
20130305,0
20130306,0
20130307,0
20130308,0
20130309,1
20130310,1
20130311,0
20130312,0
20130313,0
20130314,0
20130315,0
20130316,1
20130317,1
20130318,0
20130319,0
20130320,0
20130321,0
20130322,0
20130323,1
20130324,1
20130325,0
20130326,0
20130327,0
20130328,0
20130329,0
20130330,1
20130331,1
20130401,0
20130402,0
20130403,0
20130404,2
20130405,1
20130406,1
20130407,0
20130408,0
20130409,0
20130410,0
20130411,0
20130412,0
20130413,1
20130414,1
20130415,0
20130416,0
20130417,0
20130418,0
20130419,0
20130420,1
20130421,1
20130422,0
20130423,0
20130424,0
20130425,0
20130426,0
20130427,0
20130428,0
20130429,1
20130430,1
20130501,2
20130502,0
20130503,0
20130504,1
20130505,1
20130506,0
20130507,0
20130508,0
20130509,0
20130510,0
20130511,1
20130512,1
20130513,0
20130514,0
20130515,0
20130516,0
20130517,0
20130518,1
20130519,1
20130520,0
20130521,0
20130522,0
20130523,0
20130524,0
20130525,1
20130526,1
20130527,0
20130528,0
20130529,0
20130530,0
20130531,0
20130601,1
20130602,1
20130603,0
20130604,0
20130605,0
20130606,0
20130607,0
20130608,0
20130609,0
20130610,1
20130611,1
20130612,2
20130613,0
20130614,0
20130615,1
20130616,1
20130617,0
20130618,0
20130619,0
20130620,0
20130621,0
20130622,1
20130623,1
20130624,0
20130625,0
20130626,0
20130627,0
20130628,0
20130629,1
20130630,1
20130701,0
20130702,0
20130703,0
20130704,0
20130705,0
20130706,1
20130707,1
20130708,0
20130709,0
20130710,0
20130711,0
20130712,0
20130713,1
20130714,1
20130715,0
20130716,0
20130717,0
20130718,0
20130719,0
20130720,1
20130721,1
20130722,0
20130723,0
20130724,0
20130725,0
20130726,0
20130727,1
20130728,1
20130729,0
20130730,0
20130731,0
20130801,0
20130802,0
20130803,1
20130804,1
20130805,0
20130806,0
20130807,0
20130808,0
20130809,0
20130810,1
20130811,1
20130812,0
20130813,0
20130814,0
20130815,0
20130816,0
20130817,1
20130818,1
20130819,0
20130820,0
20130821,0
20130822,0
20130823,0
20130824,1
20130825,1
20130826,0
20130827,0
20130828,0
20130829,0
20130830,0
20130831,1
20130901,1
20130902,0
20130903,0
20130904,0
20130905,0
20130906,0
20130907,1
20130908,1
20130909,0
20130910,0
20130911,0
20130912,0
20130913,0
20130914,1
20130915,1
20130916,0
20130917,0
20130918,0
20130919,2
20130920,1
20130921,1
20130922,0
20130923,0
20130924,0
20130925,0
20130926,0
20130927,0
20130928,1
20130929,0
20130930,0
20131001,2
20131002,2
20131003,2
20131004,1
20131005,1
20131006,1
20131007,1
20131008,0
20131009,0
20131010,0
20131011,0
20131012,0
20131013,1
20131014,0
20131015,0
20131016,0
20131017,0
20131018,0
20131019,1
20131020,1
20131021,0
20131022,0
20131023,0
20131024,0
20131025,0
20131026,1
20131027,1
20131028,0
20131029,0
20131030,0
20131031,0
20131101,0
20131102,1
20131103,1
20131104,0
20131105,0
20131106,0
20131107,0
20131108,0
20131109,1
20131110,1
20131111,0
20131112,0
20131113,0
20131114,0
20131115,0
20131116,1
20131117,1
20131118,0
20131119,0
20131120,0
20131121,0
20131122,0
20131123,1
20131124,1
20131125,0
20131126,0
20131127,0
20131128,0
20131129,0
20131130,1
20131201,1
20131202,0
20131203,0
20131204,0
20131205,0
20131206,0
20131207,1
20131208,1
20131209,0
20131210,0
20131211,0
20131212,0
20131213,0
20131214,1
20131215,1
20131216,0
20131217,0
20131218,0
20131219,0
20131220,0
20131221,1
20131222,1
20131223,0
20131224,0
20131225,0
20131226,0
20131227,0
20131228,1
20131229,1
20131230,0
20131231,0
20140101,2
20140102,0
20140103,0
20140104,1
20140105,1
20140106,0
20140107,0
20140108,0
20140109,0
20140110,0
20140111,1
20140112,1
20140113,0
20140114,0
20140115,0
20140116,0
20140117,0
20140118,1
20140119,1
20140120,0
20140121,0
20140122,0
20140123,0
20140124,0
20140125,1
20140126,0
20140127,0
20140128,0
20140129,0
20140130,0
20140131,2
20140201,2
20140202,2
20140203,1
20140204,1
20140205,1
20140206,1
20140207,0
20140208,0
20140209,1
20140210,0
20140211,0
20140212,0
20140213,0
20140214,0
20140215,1
20140216,1
20140217,0
20140218,0
20140219,0
20140220,0
20140221,0
20140222,1
20140223,1
20140224,0
20140225,0
20140226,0
20140227,0
20140228,0
20140301,1
20140302,1
20140303,0
20140304,0
20140305,0
20140306,0
20140307,0
20140308,1
20140309,1
20140310,0
20140311,0
20140312,0
20140313,0
20140314,0
20140315,1
20140316,1
20140317,0
20140318,0
20140319,0
20140320,0
20140321,0
20140322,1
20140323,1
20140324,0
20140325,0
20140326,0
20140327,0
20140328,0
20140329,1
20140330,1
20140331,0
20140401,0
20140402,0
20140403,0
20140404,0
20140405,2
20140406,1
20140407,1
20140408,0
20140409,0
20140410,0
20140411,0
20140412,1
20140413,1
20140414,0
20140415,0
20140416,0
20140417,0
20140418,0
20140419,1
20140420,1
20140421,0
20140422,0
20140423,0
20140424,0
20140425,0
20140426,1
20140427,1
20140428,0
20140429,0
20140430,0
20140501,2
20140502,1
20140503,1
20140504,0
20140505,0
20140506,0
20140507,0
20140508,0
20140509,0
20140510,1
20140511,1
20140512,0
20140513,0
20140514,0
20140515,0
20140516,0
20140517,1
20140518,1
20140519,0
20140520,0
20140521,0
20140522,0
20140523,0
20140524,1
20140525,1
20140526,0
20140527,0
20140528,0
20140529,0
20140530,0
20140531,1
20140601,1
20140602,2
20140603,0
20140604,0
20140605,0
20140606,0
20140607,1
20140608,1
20140609,0
20140610,0
20140611,0
20140612,0
20140613,0
20140614,1
20140615,1
20140616,0
20140617,0
20140618,0
20140619,0
20140620,0
20140621,1
20140622,1
20140623,0
20140624,0
20140625,0
20140626,0
20140627,0
20140628,1
20140629,1
20140630,0
20140701,0
20140702,0
20140703,0
20140704,0
20140705,1
20140706,1
20140707,0
20140708,0
20140709,0
20140710,0
20140711,0
20140712,1
20140713,1
20140714,0
20140715,0
20140716,0
20140717,0
20140718,0
20140719,1
20140720,1
20140721,0
20140722,0
20140723,0
20140724,0
20140725,0
20140726,1
20140727,1
20140728,0
20140729,0
20140730,0
20140731,0
20140801,0
20140802,1
20140803,1
20140804,0
20140805,0
20140806,0
20140807,0
20140808,0
20140809,1
20140810,1
20140811,0
20140812,0
20140813,0
20140814,0
20140815,0
20140816,1
20140817,1
20140818,0
20140819,0
20140820,0
20140821,0
20140822,0
20140823,1
20140824,1
20140825,0
20140826,0
20140827,0
20140828,0
20140829,0
20140830,1
20140831,1
20140901,0
20140902,0
20140903,0
20140904,0
20140905,0
20140906,1
20140907,1
20140908,2
20140909,0
20140910,0
20140911,0
20140912,0
20140913,1
20140914,1
20140915,0
20140916,0
20140917,0
20140918,0
20140919,0
20140920,1
20140921,1
20140922,0
20140923,0
20140924,0
20140925,0
20140926,0
20140927,1
20140928,0
20140929,0
20140930,0
20141001,2
20141002,2
20141003,2
20141004,1
20141005,1
20141006,1
20141007,1
20141008,0
20141009,0
20141010,0
20141011,0
20141012,1
20141013,0
20141014,0
20141015,0
20141016,0
20141017,0
20141018,1
20141019,1
20141020,0
20141021,0
20141022,0
20141023,0
20141024,0
20141025,1
20141026,1
20141027,0
20141028,0
20141029,0
20141030,0
20141031,0
20141101,1
20141102,1
20141103,0
20141104,0
20141105,0
20141106,0
20141107,0
20141108,1
20141109,1
20141110,0
20141111,0
20141112,0
20141113,0
20141114,0
20141115,1
20141116,1
20141117,0
20141118,0
20141119,0
20141120,0
20141121,0
20141122,1
20141123,1
20141124,0
20141125,0
20141126,0
20141127,0
20141128,0
20141129,1
20141130,1
20141201,0
20141202,0
20141203,0
20141204,0
20141205,0
20141206,1
20141207,1
20141208,0
20141209,0
20141210,0
20141211,0
20141212,0
20141213,1
20141214,1
20141215,0
20141216,0
20141217,0
20141218,0
20141219,0
20141220,1
20141221,1
20141222,0
20141223,0
20141224,0
20141225,0
20141226,0
20141227,1
20141228,1
20141229,0
20141230,0
20141231,0
20150101,2
20150102,1
20150103,1
20150104,0
20150105,0
20150106,0
20150107,0
20150108,0
20150109,0
20150110,1
20150111,1
20150112,0
20150113,0
20150114,0
20150115,0
20150116,0
20150117,1
20150118,1
20150119,0
20150120,0
20150121,0
20150122,0
20150123,0
20150124,1
20150125,1
20150126,0
20150127,0
20150128,0
20150129,0
20150130,0
20150131,1
20150201,1
20150202,0
20150203,0
20150204,0
20150205,0
20150206,0
20150207,1
20150208,1
20150209,0
20150210,0
20150211,0
20150212,0
20150213,0
20150214,1
20150215,0
20150216,0
20150217,0
20150218,2
20150219,2
20150220,2
20150221,1
20150222,1
20150223,1
20150224,1
20150225,0
20150226,0
20150227,0
20150228,0
20150301,1
20150302,0
20150303,0
20150304,0
20150305,0
20150306,0
20150307,1
20150308,1
20150309,0
20150310,0
20150311,0
20150312,0
20150313,0
20150314,1
20150315,1
20150316,0
20150317,0
20150318,0
20150319,0
20150320,0
20150321,1
20150322,1
20150323,0
20150324,0
20150325,0
20150326,0
20150327,0
20150328,1
20150329,1
20150330,0
20150331,0
20150401,0
20150402,0
20150403,0
20150404,1
20150405,2
20150406,1
20150407,0
20150408,0
20150409,0
20150410,0
20150411,1
20150412,1
20150413,0
20150414,0
20150415,0
20150416,0
20150417,0
20150418,1
20150419,1
20150420,0
20150421,0
20150422,0
20150423,0
20150424,0
20150425,1
20150426,1
20150427,0
20150428,0
20150429,0
20150430,0
20150501,2
20150502,1
20150503,1
20150504,0
20150505,0
20150506,0
20150507,0
20150508,0
20150509,1
20150510,1
20150511,0
20150512,0
20150513,0
20150514,0
20150515,0
20150516,1
20150517,1
20150518,0
20150519,0
20150520,0
20150521,0
